'jian'qiao'bei	建桥杯	011124.129632.121324	51111254.1234313432.12341324
'tui'bu'yun'shou	退步云手	03454.21233.1154.67	511534454.2121233.1154.3112
'tui'bu'ya'zhou	退步压肘	03454.21233.13194.36124	511534454.2121233.131214.3511124
'tui'bu'kua'hu	退步跨虎	03454.21233.291345.8735	511534454.2121233.2512121134115.21531535
'tui'hui'yuan'lei	退回原垒	03454.25801.133814.545459	511534454.252511.1332511234.545454121
'tui'lei	退垒	03454.545459	511534454.545454121
'xi'quan'yi'de	习拳一得	04.4367.1.338114	541.4311343112.1.33225111124
'xi'ding	习定	04.461214	541.44512134
'yu'gen'zhi'shu	羽根直树	0404.1203.1227.125414	541541.1234511534.12251111.123454124
'yu'gen'tai'zheng	羽根泰正	0404.1203.732414.121	541541.1234511534.1113424134.12121
'yu'lin'qiang	羽林枪	0404.1212.123455	541541.12341234.12343455
'yu'mao	羽毛	0404.67	541541.3115
'yu'mao'qiu'pai	羽毛球拍	0404.67.111244.10381	541541.3115.11211241344.12132511
'yu'mao'qiu'chang	羽毛球场	0404.67.111244.19533	541541.3115.11211241344.121533
'yu'mao'qiu'hun'he'shuang'da	羽毛球混合双打	0404.67.111244.448115.92.5454.1012	541541.3115.11211241344.44125111535.341251.5454.12112
'zhai'yi'ming	翟一鸣	040431.1.8099	54154132411121.1.25135451
'chuo'jiao	戳脚	040434.361952	541541324111211534.35111215452
'mu'qiu	母球	06.111244	55414.11211241344
'mu'zi'quan	母子拳	06.58.4367	55414.521.4311343112
'shi'ju	尸居	07.071280	513.51312251
'bi'gu	辟谷	07.93	5132514143112.3434251
'qu'xi'ta'shi	屈膝踏实	0702.361234.292531.464414	51352252.351112343424134.251212125342511.44544134
'qu'xi'zuo'shi	屈膝坐实	0702.361234.343419.464414	51352252.351112343424134.3434121.44544134
'qu'dao	屈刀	0702.53	51352252.53
'yun'mu	熨目	071129.82	513112341244334.25111
'zhan'wan	展腕	071854.364695	5131221534.351144535455
'bi'guan	壁观	0719.542535	5132514143112121.542535
'tu'long	屠龙	071931.13534	51312132511.13534
'tu'long'wei'guo	屠龙未果	071931.13534.112.8112	51312132511.13534.11234.25111234
'tu'long'fu	屠龙负	071931.13534.3528	51312132511.13534.352534
'tu'long'sheng	屠龙胜	071931.13534.36371	51312132511.13534.351131121
'tu'long'bang	屠龙帮	071931.13534.735225	51312132511.13534.111352252
'ni'ke'yang	尼克杨	0735.128035.12533	51335.1225135.1234533
'ni'ke'er'sen	尼克尔森	0735.128035.35234.121212	51335.1225135.35234.123412341234
'ni'ke'hai'fei'er'de	尼克海菲尔德	0735.128035.443106.1723.35234.331285	51335.1225135.4413155414.12221112111.35234.332122522114544
'ni'ke'si	尼克斯	0735.128035.703312	51335.1225135.122111343312
'ni'ke'luo'si'bo'ge	尼克罗斯伯格	0735.128035.8490.703312.32381.129080	51335.1225135.25221354.122111343312.3232511.1234354251
'ni'long'xian	尼龙线	0735.13534.551154	51335.13534.55111534
'ni'ta'ku	尼塔库	0735.191792.4777	51335.121122341251.4131512
'ni'er'sen'xiao'pi'kui'te	尼尔森小皮奎特	0735.35234.121212.234.53254.134199.311914	51335.35234.123412341234.234.53254.134121121.3121121124
'ni'er'sen'pi'kui'te	尼尔森皮奎特	0735.35234.121212.53254.134199.311914	51335.35234.123412341234.53254.134121121.3121121124
'ni'ji	尼基	0735.7019	51335.12211134121
'ni'si'gong'kai'sai	尼斯公开赛	0735.703312.3454.1132.467638	51335.122111343312.3454.1132.44511221342534
'jin'ran	尽然	07444.901349	513444.354413444444
'chi'yang	迟洋	074454.444312	5134454.441431112
'bi'zhen'qi	避震器	07454.161314.808010	5132514143112454.145244441311534.2512511344251251
'bi'zhuan	避转	07454.771154	5132514143112454.15211154
'bi'shu'shan'zhuang'bei	避暑山庄杯	07454.811931.20.4719.121324	5132514143112454.251112132511.252.413121.12341324
'pi'gua'quan	劈挂拳	0753.101919.4367	513251414311253.121121121.4311343112
'pi'gua'tong'bei'quan	劈挂通背拳	0753.101919.542514.211351.4367	513251414311253.121121121.5425112454.211352511.4311343112
'pi'zheng	劈正	0753.121	513251414311253.12121
'pi'heng'cha	劈横叉	0753.121884.544	513251414311253.123412212512134.544
'pi'gun	劈棍	0753.128115	513251414311253.123425111535
'pi'chang	劈长	0753.3154	513251414311253.3154
'pi'quan	劈拳	0753.4367	513251414311253.4311343112
'pi'zhen	劈阵	0753.5277	513251414311253.521512
'pi'jia'zi	劈架子	0753.538012.58	513251414311253.532511234.521
'ju'shi	局势	07580.103543	5135251.12135453
'ju'mian	局面	07580.132521	5135251.132522111
'ju'dian	局点	07580.218069	5135251.212514444
'ju'fen	局分	07580.3453	5135251.3453
'ju'bu'ding'shi	局部定式	07580.618052.461214.112154	5135251.4143125152.44512134.112154
'ju'shu	局数	07580.685990	5135251.4312345313134
'ju'zhong'ju'wai'liang'chen'yin	局中局外两沉吟	07580.802.07580.9024.125344.444535.803445	5135251.2512.5135251.35424.1253434.4414535.2513445
'ju'zhong'qiu	局中球	07580.802.111244	5135251.2512.11211241344
'ju'wai	局外	07580.9024	5135251.35424
'wei'yi	尾翼	0767.040484	5133115.54154125121122134
'wei'qi'hong	尾崎宏	0767.201342.461354	5133115.25213412512.4451354
'yi'ben'dao	一本道	1.121.431384	1.12341.431325111454
'yi'ping'yu'zi'qiao'yun'sui	一枰玉子敲云碎	1.121432.114.58.412584.1154.144132	1.123414312.11214.521.41251252512154.1154.1325141343412
'yi'bu'dang	一不当	1.1324.2401	1.1324.243511
'yi'zhang'ke	一丈柯	1.134.121802	1.134.123412512
'yi'zhang'wei	一丈威	1.134.131594	1.134.131531534
'yi'dan'san'niao	一石三鸟	1.14.111.99	1.13251.111.35451
'yi'shi'ben'yin'fang	一世本因坊	1.185.121.251341.1960	1.12215.12341.251341.1214153
'yi'lu	一路	1.299080	1.2512121354251
'yi'lu'ban	一路扳	1.299080.103354	1.2512121354251.1213354
'yi'lu'da'fei	一路大飞	1.299080.134.534	1.2512121354251.134.534
'yi'lu'dian	一路点	1.299080.218069	1.2512121354251.212514444
'yi'lu'xiao'jian	一路小尖	1.299080.234.234134	1.2512121354251.234.234134
'yi'lu'xiao'fei	一路小飞	1.299080.234.534	1.2512121354251.234.534
'yi'lu'jian	一路尖	1.299080.234134	1.2512121354251.234134
'yi'lu'tiao	一路跳	1.299080.293414	1.2512121354251.2512121341534
'yi'lu'bing	一路并	1.299080.4332	1.2512121354251.431132
'yi'lu'du	一路渡	1.299080.444714	1.2512121354251.441413122154
'yi'lu'fei	一路飞	1.299080.534	1.2512121354251.534
'yi'lu'li	一路立	1.299080.61	1.2512121354251.41431
'yi'chuan	一传	1.321154	1.321154
'yi'ren'zi'ran	一任自然	1.32319.382.901349	1.323121.325111.354413444444
'yi'pen'zhu	一盆珠	1.345384.113112	1.345325221.1121311234
'yi'sheng'qiu'dao	一生求道	1.371.124134.431384	1.31121.1241344.431325111454
'yi'men	一门	1.42	1.425
'yi'jian'jia	一间夹	1.4281.143134	1.4252511.143134
'yi'jian'di'gua	一间低挂	1.4281.323514.101919	1.4252511.3235154.121121121
'yi'jian'di'jia	一间低夹	1.4281.323514.143134	1.4252511.3235154.143134
'yi'jian'fan'jia	一间反夹	1.4281.3354.143134	1.4252511.3354.143134
'yi'jian'gao'gua	一间高挂	1.4281.412580.101919	1.4252511.4125125251.121121121
'yi'jian'gao'jia	一间高夹	1.4281.412580.143134	1.4252511.4125125251.143134
'yi'fa'yi'shu	一法一术	1.441954.1.124	1.44112154.1.12344
'yi'ku	一库	1.4777	1.4131512
'yi'fa'qiu'yuan	一发球员	1.53544.111244.8028	1.53544.11211241344.2512534
'yi'lei'an'da	一垒安打	1.545459.4659.1012	1.545454121.445531.12112
'yi'lei'shou	一垒手	1.545459.67	1.545454121.3112
'yi'xian	一线	1.551154	1.55111534
'yi'ji	一级	1.55354	1.551354
'yi'ji'fang'cheng'shi	一级方程式	1.55354.60.928011.112154	1.551354.4153.312342511121.112154
'yi'ji'fang'cheng'shi'sai'che	一级方程式赛车	1.55354.60.928011.112154.467638.77	1.551354.4153.312342511121.112154.44511221342534.1512
'yi'ji'fang'cheng'shi'sai'che'shi'jie'jin'biao'sai	一级方程式赛车世界锦标赛	1.55354.60.928011.112154.467638.77.185.833432.913815.121124.467638	1.551354.4153.312342511121.112154.44511221342534.1512.12215.251213432.3111532511252.123411234.44511221342534
'yi'ji'fang'cheng'shi'jin'biao'sai	一级方程式锦标赛	1.55354.60.928011.112154.913815.121124.467638	1.551354.4153.312342511121.112154.3111532511252.123411234.44511221342534
'yi'zi'bu'shen'man'pan'jie'shu	一子不慎满盘皆输	1.58.1324.491224.441714.9384.153531.773412	1.521.1324.4421225111134.4411221253434.33541425221.153532511.1521341251122
'yi'zi'jie'shuang'zheng	一子解双征	1.58.355331.5454.33121	1.521.3535112533112.5454.33212121
'yi'fang'di	一方地	1.60.19525	1.4153.121525
'yi'shou	一手	1.67	1.3112
'yi'shou'qi	一手棋	1.67.1270	1.3112.123412211134
'yi'shou'jie	一手劫	1.67.195453	1.3112.1215453
'yi'deng'ming'an'fu'wu'tu	一灯明暗复吴图	1.6912.8136.816181.318190.801134.259041	1.433412.25113511.2511414312511.312511354.2511134.25354441
'yi'pin	一品	1.808080	1.251251251
'yi'ban'che'liang	一般车辆	1.933554.77.771254	1.3354143554.1512.15211253434
'yi'duan	一段	1.973554	1.321113554
'sao'tang'tui	扫堂腿	1001.248019.360344	121511.24345251121.3511511534454
'zhe'die	摺叠	100401.545457	12154154132511.5454544525111
'jue'jin	掘金	100702.91	12151352252.34112431
'wo'pai	握拍	100719.10381	121513154121.12132511
'wo'pai'zi'shi	握拍姿势	100719.10381.413539.103543	121513154121.12132511.413534531.12135453
'wo'pai'fa	握拍法	100719.10381.441954	121513154121.12132511.44112154
'mo'mei'hong	抹眉红	10112.521382.55121	12111234.521325111.551121
'da'ba	打拔	1012.101354	12112.12113544
'da'gua	打挂	1012.101919	12112.121121121
'da'er'hai'yi	打二还一	1012.11.132444.1	12112.11.1324454.1
'da'san'hai'yi	打三还一	1012.111.132444.1	12112.111.1324454.1
'da'san'fen	打三分	1012.111.3453	12112.111.3453
'da'ji'shun'xu	打击顺序	1012.1120.322138.4754	12112.11252.322132534.4135452
'da'ji'wei'zhi	打击位置	1012.1120.3261.841227	12112.11252.3241431.2522112251111
'da'ji'lv	打击率	1012.1120.415642	12112.11252.41554413412
'da'ji'shou	打击手	1012.1120.67	12112.11252.3112
'da'tian'zhong	打天钟	1012.1134.91802	12112.1134.311152512
'da'dai'pao	打带跑	1012.122245.293555	12112.122245252.251212135515
'da'qi	打棋	1012.1270	12112.123412211134
'da'hou	打厚	1012.138158	12112.132511521
'da'bao	打薄	1012.174414	12112.1224411251124124
'da'jie	打劫	1012.195453	12112.1215453
'da'jie'sha	打劫杀	1012.195453.3412	12112.1215453.341234
'da'jie'huo	打劫活	1012.195453.4496	12112.1215453.441312251
'da'ru	打入	1012.34	12112.34
'da'shao	打勺	1012.354	12112.354
'da'pu	打谱	1012.404311	12112.45431224312511
'da'pu'ruan'jian	打谱软件	1012.404311.773534.3231	12112.45431224312511.15213534.323112
'da'jiang	打将	1012.412904	12112.412354124
'da'dan'bu'da'shuang	打单不打双	1012.438112.1324.1012.5454	12112.43251112.1324.12112.5454
'da'shen'du'qiu	打深度球	1012.444532.471854.111244	12112.44145341234.413122154.11211241344
'da'xi	打席	1012.471825	12112.4131221252
'da'shou	打手	1012.67	12112.3112
'da'shou'fan'gui	打手犯规	1012.67.3855.113425	12112.3112.35355.11342535
'da'chi	打吃	1012.80315	12112.251315
'da'si'fen	打四分	1012.84.3453	12112.25351.3453
'ji'ji	技击	101254.1120	1211254.11252
'ji'ji'zhuang	技击桩	101254.1120.124719	1211254.11252.1234413121
'ji'ji'fang'fa	技击方法	101254.1120.60.441954	1211254.11252.4153.44112154
'ji'shu'dong'zuo	技术动作	101254.124.115453.323121	1211254.12344.115453.3231211
'ji'shu'fan'gui	技术犯规	101254.124.3855.113425	1211254.12344.35355.11342535
'ji'shu'xing'ji'dao	技术性击倒	101254.124.49371.1120.321542	1211254.12344.44231121.11252.3215412122
'ji'shu'tong'ji	技术统计	101254.124.554155.4012	1211254.12344.551415435.4512
'bo'sha	搏杀	101254.3412	1211251124124.341234
'bu'shou'mian'zhao	捕手面罩	101254.67.132521.842182	1211251124.3112.132522111.2522121251112
'lie'jin	挒劲	101322.541213	121135422.5412153
'liao'gun'hua	撩棍花	101344.128115.173235	121134432511234.123425111535.1223235
'liao'zhan	撩战	101344.218014	121134432511234.212511534
'liao'dang	撩裆	101344.632401	121134432511234.45234243511
'liao'dang'quan	撩裆拳	101344.632401.4367	121134432511234.45234243511.4311343112
'yan'hu	掩护	101345.10407	12113425115.1214513
'yan'hu'zhe	掩护者	101345.10407.19381	12113425115.1214513.12132511
'yan'hu'dui'yuan	掩护队员	101345.10407.5234.8028	12113425115.1214513.5234.2512534
'yan'hu'pei'he	掩护配合	101345.10407.75515.92	12113425115.1214513.1253511515.341251
'yan'yue'dao	掩月刀	101345.36.53	12113425115.3511.53
'yan'shou'gong'chui	掩手肱捶	101345.67.361354.103121	12113425115.3112.35111354.12131212211
'yan'shou'gong'quan	掩手肱拳	101345.67.361354.4367	12113425115.3112.35111354.4311343112
'ba'shi'heng'lai'ye'huo'shao	拔势横来野火烧	101354.103543.121884.168.812114.69.691535	12113544.12135453.123412212512134.1431234.25112115452.4334.4334153135
'ba'hua	拔花	101354.173235	12113544.1223235
'ba'zhe	拔着	101354.4382	12113544.43111325111
'e'yao'er'ju	扼要而据	101355.7459.132522.100710	1211355.125221531.132522.12151312251
'xie'ge'song'ma	挟戈駷马	101434.1534.501804.50	121143134.1534.12112544441251234.551
'zhao'tou'chang	找投场	101534.103554.19533	1211534.1213554.121533
'zhao'jie	找劫	101534.195453	1211534.1215453
'zhao'jie'cai	找劫材	101534.195453.12123	1211534.1215453.1234123
'zhao'xia'jie	找瞎劫	101534.824670.195453	1211534.251114451112251.1215453
'lei'zheng'shi'fan'qi	擂争十番棋	101683.35012.12.36883.1270	1211452444425121.355112.12.343123425121.123412211134
'lei'tai'zhi	擂台制	101683.5480.311252	1211452444425121.54251.31125222
'lei'tai'sai	擂台赛	101683.5480.467638	1211452444425121.54251.44511221342534
'lao'yi'piao	捞一票	101743.1.741124	1211224553.1.12522111234
'gong'qiu	拱球	101834.111244	121122134.11211241344
'chi'qiu	持球	101914.111244	121121124.11211241344
'chi'qiu'peng'chu	持球碰触	101914.111244.144312.3526	121121124.11211241344.1325143122431.3535112251214
'chi'qiu'zhe	持球者	101914.111244.19381	121121124.11211241344.12132511
'chi'qiu'ta'lei	持球踏垒	101914.111244.292531.545459	121121124.11211241344.251212125342511.545454121
'chi'qiu'tu'po	持球突破	101914.111244.463414.145324	121121124.11211241344.445341344.1325153254
'chi'qiu'dui'you	持球队友	101914.111244.5234.1354	121121124.11211241344.5234.1354
'chi'qiu'shou	持球手	101914.111244.67	121121124.11211241344.3112
'chi'qiu'jin'gong'zhe	持球进攻者	101914.111244.76454.12190.19381	121121124.11211241344.1132454.1213134.12132511
'chi'qiu'jin'gong'dui'yuan	持球进攻队员	101914.111244.76454.12190.5234.8028	121121124.11211241344.1132454.1213134.5234.2512534
'chi'qi	持棋	101914.1270	121121124.123412211134
'chi'bang'hui'ji	持棒挥击	101914.127312.104577.1120	121121124.123411134112.121451512.11252
'chi'bang'chu'ji	持棒触击	101914.127312.3526.1120	121121124.123411134112.3535112251214.11252
'chi'fu	持斧	101914.343432	121121124.34343312
'chi'xu'peng'chu	持续碰触	101914.551254.144312.3526	121121124.55112544134.1325143122431.3535112251214
'chi'zhou	持咒	101914.808035	121121124.25125135
'chi'yue	持钺	101914.911554	121121124.3111515534
'gua'wang	挂网	101919.253434	121121121.253434
'gua'jiao	挂角	101919.35	121121121.3535112
'cui'gang'lian'rou	摧刚炼柔	102031.253422.691554.54312	12125232411121.253422.433415534.545231234
'diao'bang	掉磅	102182.146160	12121251112.132514143454153
'diao'dao	掉刀	102182.53	12121251112.53
'lan'que'wei	揽雀尾	102235.234321.0767	121223142535.23432411121.5133115
'lan'que'wei'luo'fa	揽雀尾捋法	102235.234321.0767.103914.441954	121223142535.23432411121.5133115.1213443124.44112154
'lan'que'wei'beng'fa	揽雀尾绷法	102235.234321.0767.553636.441954	121223142535.23432411121.5133115.55135113511.44112154
'pai'qiang	排枪	1023.123455	12121112111.12343455
'pai'wei	排位	1023.3261	12121112111.3241431
'pai'wei'sai	排位赛	1023.3261.467638	12121112111.3241431.44511221342534
'pai'qi'hui'ya	排气回压	1023.67.25801.13194	12121112111.3115.252511.131214
'pai'ming'dian'di	排名垫底	1023.9080.103549.473514	12121112111.354251.121354121.41335154
'chao'jie	抄截	102343.121324	1212343.12132411121534
'pu'zheng'shou	扑正手	1024.121.67	12124.12121.3112
'pu'mian'zhang	扑面掌	1024.132521.248067	12124.132522111.243452513112
'pu'jie	扑劫	1024.195453	12124.1215453
'pu'bu	扑步	1024.21233	12124.2121233
'pu'bu'chuan'zhang	扑步穿掌	1024.21233.463479.248067	12124.2121233.445341523.243452513112
'pu'bu'lun'pi	扑步轮劈	1024.21233.773435.0753	12124.2121233.15213435.513251414311253
'pu'die'bu	扑跌步	1024.293114.21233	12124.251212131134.2121233
'dang'chai	挡拆	102401.103314	121243511.12133124
'dang'qiu	挡球	102401.111244	121243511.11211241344
'dang'zai'shen'hou	挡在身后	102401.13219.95.33180	121243511.132121.3251113.331251
'en'zhong	摁钟	102515.91802	1212513414544.311152512
'chui'tian'qing	捶天磬	103121.1134.195214	12131212211.1134.1215213355413251
'cha'bu	插步	103127.21233	121312321511.2121233
'tuo'ni'ai'lun	托尼艾伦	10315.0735.1734.323435	121315.51335.12234.323435
'tuo'ni'pa'ke	托尼帕克	10315.0735.25381.128035	121315.51335.25232511.1225135
'tuo'qiu'shang'lan	托球上篮	10315.111244.211.372234	121315.11211241344.211.3143142231425221
'tuo'qi'ke	托奇克	10315.134182.128035	121315.13412512.1225135
'tuo'ying'zhuang	托婴桩	10315.282859.124719	121315.25342534531.1234413121
'tuo'bai'e'si	托拜厄斯	10315.311311.1355.703312	121315.311311112.1355.122111343312
'tuo'te	托特	10315.311914	121315.3121121124
'tuo'de	托德	10315.331285	121315.332122522114544
'tuo'jiao	托角	10315.35	121315.3535112
'tuo'du	托渡	10315.444714	121315.441413122154
'tuo'bao'bei'zhuang	托宝贝桩	10315.46114.28.124719	121315.44511214.2534.1234413121
'tuo'di	托底	10315.473514	121315.41335154
'tuo'ma'shen	托马什	10315.50.3212	121315.551.3212
'tuo'ma'si'luo'bin'xun	托马斯罗宾逊	10315.50.703312.8490.463214.582344	121315.551.122111343312.25221354.4453212134.521234454
'tuo'mu'jie'ke	托姆捷克	10315.5906.101014.128035	121315.53155414.12115112134.1225135
'tuo'xi'qi	托西奇	10315.74.134182	121315.125351.13412512
'tuo'qiang	拖枪	103155.123455	12131525.12343455
'tuo'yan'shi'jian	拖延时间	103155.321554.81124.4281	12131525.321554.2511124.4252511
'ting'ba	挺拔	103194.101354	121312154.12113544
'ting'tou	挺头	103194.44134	121312154.44134
'tui'dang	推挡	103241.102401	12132411121.121243511
'tui'qiu	推球	103241.111244	12132411121.11211241344
'tui'gan	推杆	103241.12112	12132411121.1234112
'tui'ren'fan'gui	推人犯规	103241.34.3855.113425	12132411121.34.35355.11342535
'tui'song	推送	103241.433444	12132411121.431134454
'tui'shou	推手	103241.67	12132411121.3112
'zhe'teng	折腾	103312.364350	1213312.3511431134551
'zhe'chong	折冲	103312.41802	1213312.412512
'zhe'yin	折阴	103312.5236	1213312.523511
'chai'yi	拆一	103314.1	12133124.1
'chai'er	拆二	103314.11	12133124.11
'chai'er'xie'fei	拆二斜飞	103314.11.341122.534	12133124.11.34112344412.534
'chai'er'dan'guan	拆二单关	103314.11.438112.4334	12133124.11.43251112.431134
'chai'er'li'san	拆二立三	103314.11.61.111	12133124.11.41431.111
'chai'san	拆三	103314.111	12133124.111
'chai'san'li'si	拆三立四	103314.111.61.84	12133124.111.41431.25351
'chai'qi	拆棋	103314.1270	12133124.123412211134
'chai'jian'jia	拆兼夹	103314.431014.143134	12133124.4315112234.143134
'chai'bian	拆边	103314.53454	12133124.53454
'zhua'qiang	抓枪	103324.123455	1213324.12343455
'zhua'di'li	抓地力	103324.19525.53	1213324.121525.53
'ban'dian	扳点	103354.218069	1213354.212514444
'ban'tou	扳头	103354.44134	1213354.44134
'ban'du	扳渡	103354.444714	1213354.441413122154
'ban'liu	扳六	103354.66	1213354.4134
'ban'zhan	扳粘	103354.682180	1213354.43123421251
'ban'duan	扳断	103354.685332	1213354.43123453312
'shuan'zi	拴子	103411.58	121341121.521
'tiao'da	挑打	103414.1012	121341534.12112
'tiao'zhan'zhe'bei	挑战者杯	103414.218014.19381.121324	121341534.212511534.12132511.12341324
'tiao'zhan'zhe'jue'ding'zhan	挑战者决定战	103414.218014.19381.415134.461214.218014	121341534.212511534.12132511.415134.44512134.212511534
'tiao'zhan'sai	挑战赛	103414.218014.467638	121341534.212511534.44511221342534
'tiao'gao'qiu	挑高球	103414.412580.111244	121341534.4125125251.11211241344
'tiao'bian'qi	挑边器	103414.53454.808010	121341534.53454.2512511344251251
'lun'gun	抡棍	103435.128115	1213435.123425111535
'qin'na	擒拿	103444.9267	121344134522554.3412513112
'qin'na'fa	擒拿法	103444.9267.441954	121344134522554.3412513112.44112154
'qiang'ju	抢局	103455.07580	1213455.5135251
'qiang'la	抢拉	103455.1061	1213455.12141431
'qiang'gong	抢攻	103455.12190	1213455.1213134
'qiang'zhan'wei'zhi	抢占位置	103455.2180.3261.841227	1213455.21251.3241431.2522112251111
'qiang'hou'shou	抢后手	103455.33180.67	1213455.331251.3112
'qiang'chong	抢冲	103455.41802	1213455.412512
'qiang'duan	抢断	103455.685332	1213455.43123453312
'huan'qiu	换球	103524.111244	1213525134.11211241344
'huan'ren	换人	103524.34	1213525134.34
'huan'fang	换防	103524.5260	1213525134.524153
'huan'fa	换发	103524.53544	1213525134.53544
'huan'fa'qiu	换发球	103524.53544.111244	1213525134.53544.11211241344
'zhi'xing'gui'ze	执行规则	10354.33112.113425.2822	121354.332112.11342535.253422
'zhi'xing'zhu'guan	执行主管	10354.33112.411.374621	121354.332112.41121.31431444525151
'zhi'bai	执白	10354.381	121354.32511
'zhi'hei	执黑	10354.86	121354.254312114444
'zhi'hei'bu'bai	执黑不败	10354.86.1324.2890	121354.254312114444.1324.25343134
'zhi'yue	执钺	10354.911554	121354.3111515534
'zhi'yi	执铱	10354.914134	121354.31115413534
'shi'li'xian	势力线	103543.53.551154	12135453.53.55111534
'shi'zi	势子	103543.58	12135453.521
'shi'gu'qu'he	势孤取和	103543.583354.7254.9280	12135453.52133544.12211154.31234251
'dian'bu	垫步	103549.21233	121354121.2121233
're'dui	热队	103549.5234	1213544444.5234
're'huo	热火	103549.69	1213544444.4334
're'rong	热熔	103549.694693	1213544444.43344453434251
're'shen'yun'dong	热身运动	103549.95.115444.115453	1213544444.3251113.1154454.115453
'yi'xi'yang'yang	抑喜养阳	103552.1980.4332.5281	1213552.121251431251.431113432.522511
'pao'qiu	抛球	103553.111244	1213553.11211241344
'pao'jie	抛劫	103553.195453	1213553.1215453
'tou'chu'hao'qiu	投出好球	103554.02.5958.111244	1213554.52252.531521.11211241344
'tou'bu'shou'zong'cheng	投捕手总称	103554.101254.67.438065.923524	1213554.1211251124.3112.432514544.3123435234
'tou'chai'san	投拆三	103554.103314.111	1213554.12133124.111
'tou'qiu	投球	103554.111244	1213554.11211241344
'tou'qiu'ju'shu	投球局数	103554.111244.07580.685990	1213554.11211241344.5135251.4312345313134
'tou'qiu'dong'zuo	投球动作	103554.111244.115453.323121	1213554.11211241344.115453.3231211
'tou'qiu'ming'zhong	投球命中	103554.111244.341802.802	1213554.11211241344.34125152.2512
'tou'qiu'ming'zhong'lv	投球命中率	103554.111244.341802.802.415642	1213554.11211241344.34125152.2512.41554413412
'tou'qiu'zi'shi	投球姿势	103554.111244.413539.103543	1213554.11211241344.413534531.12135453
'tou'chang	投场	103554.19533	1213554.121533
'tou'jie	投劫	103554.195453	1213554.1215453
'tou'ru	投入	103554.34	1213554.34
'tou'ru'ce'shi	投入测试	103554.34.442822.401124	1213554.34.441253422.45112154
'tou'lan'chu'shou	投篮出手	103554.372234.02.67	1213554.3143142231425221.52252.3112
'tou'zi	投子	103554.58	1213554.521
'tou'zi'ren'fu	投子认负	103554.58.4034.3528	1213554.521.4534.352534
'tou'shou	投手	103554.67	1213554.3112
'tou'shou'jia'dong'zuo	投手假动作	103554.67.3207.115453.323121	1213554.3112.32512115154.115453.3231211
'tou'shou'qiu	投手丘	103554.67.32121	1213554.3112.32121
'tou'shou'de	投手的	103554.67.381354	1213554.3112.32511354
'tou'shou'wan'feng	投手完封	103554.67.461135.191914	1213554.3112.4451135.121121124
'tou'shou'fang'yu'lv	投手防御率	103554.67.5260.333112.415642	1213554.3112.524153.332311212152.41554413412
'bao'zhu'dui'shou	抱住对手	103555.32411.54124.67	12135515.3241121.54124.3112
'bao'tou'tui'shan	抱头推山	103555.44134.103241.20	12135515.44134.12132411121.252
'bao'chi	抱吃	103555.80315	12135515.251315
'bao'hu'gui'shan	抱虎归山	103555.8735.2301.20	12135515.21531535.23511.252
'zhi'zhu'qiu	指著球	103581.171931.111244	121352511.12212132511.11211241344
'zhi'jie'bian'hua'qiu	指节变化球	103581.1752.6654.3235.111244	121352511.12252.41223454.3235.11211241344
'zhi'wo'mao	指我矛	103581.312154.543	121352511.3121534.54523
