'jian'mo	建模	011124.121784	51111254.12341222511134
'ling'qiao'min'gan'qi	灵巧敏感器	0169.12115.310690.131805.808010	5114334.12115.31554143134.1312515344544.2512511344251251
'ling'min'du	灵敏度	0169.310690.471854	5114334.31554143134.413122154
'ling'min'du'shi'jian'kong'zhi	灵敏度时间控制	0169.310690.471854.81124.4281.104631.311252	5114334.31554143134.413122154.2511124.4252511.12144534121.31125222
'ling'min'dian'liu'ji	灵敏电流计	0169.310690.815.444155.4012	5114334.31554143134.25115.4414154325.4512
'ling'huo'xing	灵活性	0169.4496.49371	5114334.441312251.44231121
'chu'xian'wang	出现网	02.112535.253434	52252.11212535.253434
'chu'xian'xu'lie	出现序列	02.112535.4754.1322	52252.11212535.4135452.135422
'chu'cha	出碴	02.141281	52252.13251123425111
'chu'shi'jian	出事件	02.180012.3231	52252.12515112.323112
'chu'jing'lian'lu	出境链路	02.196185.917744.299080	52252.12141431251135.311151512454.2512121354251
'chu'dian	出点	02.218069	52252.212514444
'chu'du	出度	02.471854	52252.413122154
'chu'ku'jian'yan	出库检验	02.4777.123411.503411	52252.4131512.12343414431.5513414431
'chu'qi	出气	02.67	52252.3115
'chu'cuo'feng'suo	出错封锁	02.911881.191914.912428	52252.3111512212511.121121124.311152432534
'chu'cuo'lv	出错率	02.911881.415642	52252.3111512212511.41554413412
'chu'cuo'deng'ji'cheng'xu	出错登记程序	02.911881.571801.40515.928011.4754	52252.3111512212511.543341251431.45515.312342511121.4135452
'chu'cuo'wen'jian	出错文件	02.911881.66.3231	52252.3111512212511.4134.323112
'chu'cuo'zhong'duan	出错中断	02.911881.802.685332	52252.3111512212511.2512.43123453312
'chu'cuo'zhong'duan'chu'li	出错中断处理	02.911881.802.685332.9024.118121	52252.3111512212511.2512.43123453312.35424.11212511211
'chu'cuo'chu'li	出错处理	02.911881.9024.118121	52252.3111512212511.35424.11212511211
'chu'cuo'chu'li'li'cheng	出错处理例程	02.911881.9024.118121.321322.928011	52252.3111512212511.35424.11212511211.32135422.312342511121
'tui'chu	退出	03454.02	511534454.52252
'tui'chu'pei'zhi	退出配置	03454.02.75515.841227	511534454.52252.1253511515.2522112251111
'tui'chu'cheng'xu	退出程序	03454.02.928011.4754	511534454.52252.312342511121.4135452
'tui'zhan	退栈	03454.121154	511534454.123411534
'tui'ji'hua	退极化	03454.12354.3235	511534454.1234354.3235
'tui'ci'qu'xian	退磁曲线	03454.144316.25171.551154	511534454.13251431554554.251221.55111534
'tui'ci'qi	退磁器	03454.144316.808010	511534454.13251431554554.2512511344251251
'tui'hua'shi'xiao	退化失效	03454.3235.31134.663490	511534454.3235.31134.4134343134
'tui'yi	退役	03454.333554	511534454.3323554
'tui'juan'ji	退卷积	03454.4355.928034	511534454.43113455.3123425134
'tui'dao'cao	退刀槽	03454.53.121251	511534454.53.123412512212511
'tui'suo'xing'rong'jie'du	退缩性溶解度	03454.554631.49371.444693.355331.471854	511534454.55144532132511.44231121.4414453434251.3535112533112.413122154
'tui'huo	退火	03454.69	511534454.4334
'ji'cha'ji'yong	即插即用	0352.103127.0352.35112	5115452.121312321511.5115452.35112
'ji'you'tai'jie	即有台阶	0352.132511.5480.523432	5115452.132511.54251.523432
'ji'shi'ya'suo	即时压缩	0352.81124.13194.554631	5115452.2511124.131214.55144532132511
'ji'shi'jie'ya'suo	即时解压缩	0352.81124.355331.13194.554631	5115452.2511124.3535112533112.131214.55144532132511
'ji'shi'tong'xun'ruan'jian	即时通讯软件	0352.81124.542514.40512.773534.3231	5115452.2511124.5425112454.45512.15213534.323112
'ji'shi'bian'yi'qi	即时编译器	0352.81124.554077.405412.808010	5115452.2511124.551451325122.4554112.2512511344251251
'yi'xing'luo'mu	翼形螺母	040484.113233.268354.06	54154125121122134.1132333.25121425121554234.55414
'yi'xing'luo'ding	翼形螺钉	040484.113233.268354.9112	54154125121122134.1132333.25121425121554234.3111512
'xun'you	巡游	05454.446038	555454.441415331521
'mu'ban	母板	06.123354	55414.12343354
'mu'pian	母片	06.3215	55414.3215
'mu'ban	母版	06.321534	55414.32153354
'mu'ban'ye	母版页	06.321534.1328	55414.32153354.132534
'mu'yu	母语	06.401250	55414.451251251
'ceng'xi'shu	层析术	071154.123312.124	5131154.12343312.12344
'ceng'xi'cheng'xiang	层析成像	071154.123312.135534.323584	5131154.12343312.135534.3235251353334
'ceng'ya'ban	层压板	071154.13194.123354	5131154.131214.12343354
'ceng'zhuang'xiang'jiao'tan'huang	层状橡胶弹簧	071154.412134.123584.366634.574382.371884	5131154.4121344.123435251353334.3511413434.51543251112.31431412212512134
'ceng'ci'mo'xing	层次模型	071154.413534.121784.113229	5131154.413534.12341222511134.113222121
'ceng'ci'cun'chu'xi'tong	层次存储系统	071154.413534.13258.324011.356234.554155	5131154.413534.132521.324512132511.3554234.551415435
'ceng'ci'wang	层次网	071154.413534.253434	5131154.413534.253434
'ceng'ci'lu'you	层次路由	071154.413534.299080.83	5131154.413534.2512121354251.25121
'ceng'ci'fen'xi'chu'li	层次分析处理	071154.413534.3453.123312.9024.118121	5131154.413534.3453.12343312.35424.11212511211
'ceng'ci'fen'jie	层次分解	071154.413534.3453.355331	5131154.413534.3453.3535112533112
'ceng'ci'xu'lie'jian'ma	层次序列键码	071154.413534.4754.1322.910114.1450	5131154.413534.4135452.135422.3111551111254.13251551
'ceng'ci'jie'gou	层次结构	071154.413534.551980.123554	5131154.413534.551121251.12343554
'ceng'ci'shu'ju'mo'xing	层次数据模型	071154.413534.685990.100710.121784.113229	5131154.413534.4312345313134.12151312251.12341222511134.113222121
'ceng'ci'shu'ju'ku	层次数据库	071154.413534.685990.100710.4777	5131154.413534.4312345313134.12151312251.4131512
'ceng'jian'fu'shi	层间腐蚀	071154.4281.473214.3026	5131154.4252511.41332124253434.355251214
'ceng'liu'dian'zi'qiang	层流电子枪	071154.444155.815.58.123455	5131154.4414154325.25115.521.12343455
'ceng'liu'dian'zi'shu	层流电子束	071154.444155.815.58.180234	5131154.4414154325.25115.521.1251234
'ceng'die'yang'shi'biao	层叠样式表	071154.545457.124312.112154.713534	5131154.5454544525111.1234431112.112154.11213534
'ceng'cuo	层错	071154.911881	5131154.3111512212511
'ju'li'dian	居里点	071280.81211.218069	51312251.2511211.212514444
'ju'li'wen'du	居里温度	071280.81211.448184.471854	51312251.2511211.441251125221.413122154
'zhan'kai'tu	展开图	071854.1132.259041	5131221534.1132.25354441
'zhan'cheng'fa	展成法	071854.135534.441954	5131221534.135534.44112154
'zhan'pin	展频	071854.212338	5131221534.2121233132534
'bi'gua'dian'shi	壁挂电视	0719.101919.815.622535	5132514143112121.121121121.25115.45242535
'bi'xiao'ying	壁效应	0719.663490.47641	5132514143112121.4134343134.4134431
'shua'xi	刷洗	072522.443195	51325222.441312135
'shua'xin	刷新	072522.611232	51325222.4143112343312
'shua'xin'zhou'qi	刷新周期	072522.611232.351980.7036	51325222.4143112343312.35121251.122111343511
'shua'xin'ce'shi	刷新测试	072522.611232.442822.401124	51325222.4143112343312.441253422.45112154
'shua'xin'xian'shi	刷新显示	072522.611232.8122.11234	51325222.4143112343312.251122431.11234
'shua'xin'dian'lu	刷新电路	072522.611232.815.299080	51325222.4143112343312.25115.2512121354251
'shu'ge'biao'ji	属格标记	073804.129080.121124.40515	513325125214.1234354251.123411234.45515
'shu'xing'yu'fa	属性语法	073804.49371.401250.441954	513325125214.44231121.451251251.44112154
'shu'xing'bi'bao	属性闭包	073804.49371.42123.35515	513325125214.44231121.425123.35515
'shu'xing'ji'cheng	属性继承	073804.49371.55685.581154	513325125214.44231121.5514312345.52111534
'chi'cun	尺寸	074.124	5134.124
'chi'cun'biao'zhu	尺寸标注	074.124.121124.44411	5134.124.123411234.44141121
'chi'cun'gong'zhen	尺寸共振	074.124.1834.101314	5134.124.122134.1211311534
'chi'cun'pian'cha	尺寸偏差	074.124.324077.43121	5134.124.32451325122.431113121
'chi'cun'gong'cha	尺寸公差	074.124.3454.43121	5134.124.3454.431113121
'chi'cun'gong'cha'dai	尺寸公差带	074.124.3454.43121.122245	5134.124.3454.431113121.122245252
'chi'cun'xi'lie	尺寸系列	074.124.356234.1322	5134.124.3554234.135422
'chi'cun'xi'shu	尺寸系数	074.124.356234.685990	5134.124.3554234.4312345313134
'chi'cun'an'quan'xing	尺寸安全性	074.124.4659.3411.49371	5134.124.445531.341121.44231121
'chi'cun'qu'dong	尺寸驱动	074.124.501345.115453	5134.124.5511345.115453
'chi'cun'ji'zhun	尺寸基准	074.124.7019.413241	5134.124.12211134121.4132411121
'chi'cun'jie'xian	尺寸界线	074.124.833432.551154	5134.124.251213432.55111534
'chi'du'chuan'gan'qi	尺度传感器	074.471854.321154.131805.808010	5134.413122154.321154.1312515344544.2512511344251251
'chi'du'kong'jian	尺度空间	074.471854.463411.4281	5134.413122154.44534121.4252511
'ping'shan'ji	屏栅极	074332.123531.12354	513431132.123435351.1234354
'ping'bi	屏蔽	074332.176890	513431132.12243252343134
'ping'bi'xiang'liang	屏蔽向量	074332.176890.32580.811811	513431132.12243252343134.325251.251112511211
'ping'bi'xi'shu	屏蔽系数	074332.176890.356234.685990	513431132.12243252343134.3554234.4312345313134
'ping'bi'ji'cun'qi	屏蔽寄存器	074332.176890.461342.13258.808010	513431132.12243252343134.44513412512.132521.2512511344251251
'ping'bi'shuang'jiao'xian	屏蔽双绞线	074332.176890.5454.556634.551154	513431132.12243252343134.5454.551413434.55111534
'ping'mu	屏幕	074332.178115	513431132.1222511134252
'ping'mu'jie'tu	屏幕截图	074332.178115.121324.259041	513431132.1222511134252.12132411121534.25354441
'ping'mu'gong'xiang	屏幕共享	074332.178115.1834.4158	513431132.1222511134252.122134.41251521
'ping'mu'zuo'biao	屏幕坐标	074332.178115.343419.121124	513431132.1222511134252.3434121.123411234
'ping'mu'xian'shi	屏幕显示	074332.178115.8122.11234	513431132.1222511134252.251122431.11234
'ping'mu'xian'shi'zi'xing	屏幕显示字形	074332.178115.8122.11234.4658.113233	513431132.1222511134252.251122431.11234.445521.1132333
'ping'bao'cha'sha	屏保查杀	074332.328012.12811.3412	513431132.322511234.123425111.341234
'jin'li'tou'di	尽力投递	07444.53.103554.435724	513444.53.1213554.4351523454
'chi'zhi'hui'xian	迟滞回线	074454.441225.25801.551154	5134454.441122245252.252511.55111534
'chi'dian'wei	迟电位	074454.815.3261	5134454.25115.3241431
'bi'cuo	避错	07454.911881	5132514143112454.3111512212511
'pi'xing'zhong'duan	劈形终端	0753.113233.559044.612012	513251414311253.1132333.55135444.41431252132522
'ju'yu'wang	局域网	07580.191804.253434	5135251.12112511534.253434
'ju'yu'wang'wang'guan	局域网网关	07580.191804.253434.253434.4334	5135251.12112511534.253434.253434.431134
'ju'yu'wang'fu'wu'qi	局域网服务器	07580.191804.253434.365254.9053.808010	5135251.12112511534.253434.35115254.35453.2512511344251251
'ju'yu'wang'dan	局域网单	07580.191804.253434.438112	5135251.12112511534.253434.43251112
'ju'yu'wang'guang'bo	局域网广播	07580.191804.253434.47.103683	5135251.12112511534.253434.413.121343123425121
'ju'yu'wang'jiao'huan'ji	局域网交换机	07580.191804.253434.6634.103524.1235	5135251.12112511534.253434.413434.1213525134.123435
'ju'yu'wang'duo'bo	局域网多播	07580.191804.253434.9090.103683	5135251.12112511534.253434.354354.121343123425121
'ju'bu'ling'min'du	局部灵敏度	07580.618052.0169.310690.471854	5135251.4143125152.5114334.31554143134.413122154
'ju'bu'mo'shi	局部模式	07580.618052.121784.112154	5135251.4143125152.12341222511134.112154
'ju'bu'guo'cheng'diao'yong	局部过程调用	07580.618052.124454.928011.403510.35112	5135251.4143125152.124454.312342511121.4535121251.35112
'ju'bu'gu'zhang	局部故障	07580.618052.128090.526182	5135251.4143125152.122513134.5241431251112
'ju'bu'cun'chu	局部存储	07580.618052.13258.324011	5135251.4143125152.132521.324512132511
'ju'bu'si'suo	局部死锁	07580.618052.1335.912428	5135251.4143125152.135435.311152432534
'ju'bu'que'ding	局部确定	07580.618052.1435.461214	5135251.4143125152.132513535112.44512134
'ju'bu'guang'zhao'mo'xing	局部光照模型	07580.618052.24135.815389.121784.113229	5135251.4143125152.243135.2511532514444.12341222511134.113222121
'ju'bu'shi'xiao	局部失效	07580.618052.31134.663490	5135251.4143125152.31134.4134343134
'ju'bu'zhi'liang'pian'xin'ju	局部质量偏心距	07580.618052.331228.811811.324077.65.291515	5135251.4143125152.33122534.251112511211.32451325122.4544.25121211515
'ju'bu'zuo'biao'xi	局部坐标系	07580.618052.343419.121124.356234	5135251.4143125152.3434121.123411234.3554234
'ju'bu'deng'dai'tu	局部等待图	07580.618052.371914.331914.259041	5135251.4143125152.314314121124.332121124.25354441
'ju'bu'zi'you'du	局部自由度	07580.618052.382.83.471854	5135251.4143125152.325111.25121.413122154
'ju'bu'zong'xian	局部总线	07580.618052.438065.551154	5135251.4143125152.432514544.55111534
'ju'bu'fu'shi	局部腐蚀	07580.618052.473214.3026	5135251.4143125152.41332124253434.355251214
'ju'bu'ying'yong	局部应用	07580.618052.47641.35112	5135251.4143125152.4134431.35112
'ju'bu'xing	局部性	07580.618052.49371	5135251.4143125152.44231121
'ju'bu'fang'da'tu	局部放大图	07580.618052.6090.134.259041	5135251.4143125152.41533134.134.25354441
'ju'bu'shi'tu	局部视图	07580.618052.622535.259041	5135251.4143125152.45242535.25354441
'ju'bu'bian'liang	局部变量	07580.618052.6654.811811	5135251.4143125152.41223454.251112511211
'wei'di'gui	尾递归	0767.435724.2301	5133115.4351523454.23511
'wei'di'gui'shan'chu	尾递归删除	0767.435724.2301.353512.523412	5133115.4351523454.23511.3535122.523411234
'wei'bu	尾部	0767.618052	5133115.4143125152
'wei'bu'biao'ji	尾部标记	0767.618052.121124.40515	5133115.4143125152.123411234.45515
'shu'hua'zhen'tian'xian	疏化阵天线	084155.3235.5277.1134.551154	521214154325.3235.521512.1134.55111534
'yi'lie'shi'dian'zi'qiang	一列式电子枪	1.1322.112154.815.58.123455	1.135422.112154.25115.521.12343455
'yi'zhi'xing	一致性	1.154190.49371	1.1541213134.44231121
'yi'zhi'xing'jian'yan	一致性检验	1.154190.49371.123411.503411	1.1541213134.44231121.12343414431.5513414431
'yi'zhi'xing'chong'yan	一致性重演	1.154190.49371.318121.444614	1.1541213134.44231121.312511211.44144512512134
'yi'zhi'xing'ce'shi	一致性测试	1.154190.49371.442822.401124	1.1541213134.44231121.441253422.45112154
'yi'zhi'xing'yue'shu	一致性约束	1.154190.49371.55354.180234	1.1541213134.44231121.551354.1251234
'yi'zhi'xing'qiang'zhi'qi	一致性强制器	1.154190.49371.578026.311252.808010	1.1541213134.44231121.515251251214.31125222.2512511344251251
'yi'dian'tou'shi	一点透视	1.218069.925344.622535	1.212514444.3123453454.45242535
'yi'ge'dui'xiang	一个对象	1.342.54124.358034	1.342.54124.35251353334
'yi'ci'zhi'ling	一次指令	1.413534.103581.34454	1.413534.121352511.34454
'yi'ci'chou'yang	一次抽样	1.413534.1083.124312	1.413534.12125121.1234431112
'yi'ci'lei'da	一次雷达	1.413534.1683.134454	1.413534.1452444425121.134454
'yi'ci'xian'shi	一次显示	1.413534.8122.11234	1.413534.251122431.11234
'yi'ci'dian'chi	一次电池	1.413534.815.44525	1.413534.25115.441525
'yi'jie'li'lun	一阶理论	1.523432.118121.403435	1.523432.11212511211.453435
'yi'jie'xi'tong	一阶系统	1.523432.356234.554155	1.523432.3554234.551415435
'yi'jie'can'shu'lian'xu	一阶参数连续	1.523432.541343.685990.77454.551254	1.523432.54134333.4312345313134.1512454.55112544134
'yi'jie'luo'ji	一阶逻辑	1.523432.849044.778072	1.523432.25221354454.1521251122111
'yi'jie'ju	一阶矩	1.523432.941515	1.523432.311341515
'yi'dui'zhou'xian'xiang'jiao'cheng	一对轴线相交成	1.54124.7783.551154.1282.6634.135534	1.54124.152125121.55111534.123425111.413434.135534
'yi'yang'hua'tan'ji'guang'qi	一氧化碳激光器	1.674312.3235.142019.443810.24135.808010	1.3115431112.3235.13251252134334.4413251141533134.243135.2512511344251251
'yi'qi'sha'du'lun'tan	一起杀毒论坛	1.76515.3412.7106.403435.191154	1.1212134515.341234.112155414.453435.1211154
'yi'hao'tu'zhi	一号图纸	1.8015.259041.553515	1.25115.25354441.5513515
'yi'ban'hua'yun'dong'lian	一般化运动链	1.933554.3235.115444.115453.917744	1.3354143554.3235.1154454.115453.311151512454
'yi'ban'yong'hu	一般用户	1.933554.35112.407	1.3354143554.35112.4513
'sao'miao	扫描	1001.101783	121511.12112225121
'sao'miao'kuo'zhan'tou'jing	扫描扩展透镜	1001.101783.1047.071854.925344.916185	121511.12112225121.121413.5131221534.3123453454.3111541431251135
'sao'miao'mo'shi	扫描模式	1001.101783.121784.112154	121511.12112225121.12341222511134.112154
'sao'miao'ping'mian	扫描平面	1001.101783.14312.132521	121511.12112225121.14312.132522111
'sao'miao'qu'mian	扫描曲面	1001.101783.25171.132521	121511.12112225121.251221.132522111
'sao'miao'xuan'ze'qi	扫描选择器	1001.101783.319354.105412.808010	121511.12112225121.312135454.12154112.2512511344251251
'sao'miao'ti	扫描体	1001.101783.32121	121511.12112225121.3212341
'sao'miao'yi	扫描仪	1001.101783.32434	121511.12112225121.32434
'sao'miao'wei'bo'pin'pu'yi	扫描微波频谱仪	1001.101783.332010.445324.212338.404311.32434	121511.12112225121.3322521353134.44153254.2121233132534.45431224312511.32434
'sao'miao'jiao	扫描角	1001.101783.35	121511.12112225121.3535112
'sao'miao'she'ji	扫描设计	1001.101783.403554.4012	121511.12112225121.453554.4512
'sao'miao'shan'xing	扫描扇形	1001.101783.407044.113233	121511.12112225121.4513541541.1132333
'sao'miao'fa'sheng'qi	扫描发生器	1001.101783.53544.371.808010	121511.12112225121.53544.31121.2512511344251251
'sao'miao'xian'suan'fa	扫描线算法	1001.101783.551154.378212.441954	121511.12112225121.55111534.31431425111132.44112154
'sao'miao'zhuan'huan	扫描转换	1001.101783.771154.103524	121511.12112225121.15211154.1213525134
'sao'miao'zhuan'huan'guan	扫描转换管	1001.101783.771154.103524.374621	121511.12112225121.15211154.1213525134.31431444525151
'sao'miao'shu'chu	扫描输出	1001.101783.773412.02	121511.12112225121.1521341251122.52252
'sao'miao'shu'ru	扫描输入	1001.101783.773412.34	121511.12112225121.1521341251122.34
'sao'miao'shu'ru'fa	扫描输入法	1001.101783.773412.34.441954	121511.12112225121.1521341251122.34.44112154
'sao'miao'shi'jian	扫描时间	1001.101783.81124.4281	121511.12112225121.2511124.4252511
'sao'miao'duo'bian'xing	扫描多边形	1001.101783.9090.53454.113233	121511.12112225121.354354.53454.1132333
'sao'cheng'qu'mian	扫成曲面	1001.135534.25171.132521	121511.135534.251221.132522111
'sao'pin'zhen'dang'qi	扫频振荡器	1001.212338.101314.174453.808010	121511.2121233132534.1211311534.122441533.2512511344251251
'sao'pin'gan'she'yi	扫频干涉仪	1001.212338.112.442123.32434	121511.2121233132534.112.4412121233.32434
'sao'pin'fan'she'ji	扫频反射计	1001.212338.3354.95124.4012	121511.2121233132534.3354.3251113124.4512
'sao'pin'kuan'du	扫频宽度	1001.212338.461725.471854	121511.2121233132534.4451222535.413122154
'sao'pin'fa'sheng'qi	扫频发生器	1001.212338.53544.371.808010	121511.2121233132534.53544.31121.2512511344251251
'sao'shi'jian	扫时间	1001.81124.4281	121511.2511124.4252511
'sao'miao'qi	扫瞄器	1001.821783.808010	121511.2511112225121.2512511344251251
'jue'jin'yi'dui	掘进一队	100702.76454.1.5234	12151352252.1132454.1.5234
'jue'jin'er'dui	掘进二队	100702.76454.11.5234	12151352252.1132454.11.5234
'jie'bian'pin'ci'kong'guan	捷变频磁控管	101014.6654.212338.144316.104631.374621	12115112134.41223454.2121233132534.13251431554554.12144534121.31431444525151
'mo'tou	抹头	10112.44134	12111234.44134
'da'kai'zhu'ye	打开主页	1012.1132.411.1328	12112.1132.41121.132534
'da'kai'kong'bai'ye	打开空白页	1012.1132.463411.381.1328	12112.1132.44534121.32511.132534
'da'yin'ji	打印机	1012.35152.1235	12112.35152.123435
'da'yin'ji'tuo'jia	打印机托架	1012.35152.1235.10315.538012	12112.35152.123435.121315.532511234
'da'yin'ji'ji'xin	打印机机芯	1012.35152.1235.1235.1765	12112.35152.123435.123435.1224544
'da'yin'xuan'xiang	打印选项	1012.35152.319354.121138	12112.35152.312135454.121132534
'da'yin'zhi'liang	打印质量	1012.35152.331228.811811	12112.35152.33122534.251112511211
'da'yin'fu'wu'qi	打印服务器	1012.35152.365254.9053.808010	12112.35152.35115254.35453.2512511344251251
'da'yin'tou	打印头	1012.35152.44134	12112.35152.44134
'da'yin'chi	打印池	1012.35152.44525	12112.35152.441525
'da'bao'ji	打包机	1012.35515.1235	12112.35515.123435
'da'bao'an'quan	打包安全	1012.35515.4659.3411	12112.35515.445531.341121
'da'hua	打滑	1012.4485	12112.441255452511
'da'yu'wu'qi	打誉务器	1012.641340.9053.808010	12112.4431344111251.35453.2512511344251251
'bu'zhuo'dai	捕捉带	101254.1029.122245	1211251124.1212512134.122245252
'ji'shu	技术	101254.124	1211254.12344
'ji'shu'gui'fan	技术规范	101254.124.113425.174455	1211254.12344.11342535.12244155
'ji'shu'guo'cheng	技术过程	101254.124.124454.928011	1211254.12344.124454.312342511121
'ji'shu'ke'xing'xing	技术可行性	101254.124.1802.33112.49371	1211254.12344.12512.332112.44231121
'ji'shu'xi'tong	技术系统	101254.124.356234.554155	1211254.12344.3554234.551415435
'ji'shu'zhu'guan	技术主管	101254.124.411.374621	1211254.12344.41121.31431444525151
'ji'shu'jing'ji'ping'jia	技术经济评价	101254.124.555411.446632.401432.323432	1211254.12344.55154121.441413432.4514312.323432
'bu'huo'fan'wei	捕获范围	101254.173814.174455.251151	1211251124.1223531344.12244155.2511521
'bu'huo'yi'chang	捕获异常	101254.173814.515132.248025	1211251124.1223531344.515132.24345251252
'bu'huo'shi'jian	捕获时间	101254.173814.81124.4281	1211251124.1223531344.2511124.4252511
'zhen'xing	振型	101314.113229	1211311534.113222121
'zhen'xing'bu'ping'heng'yun'cha	振型不平衡允差	101314.113229.1324.14312.333582.5435.43121	1211311534.113222121.1324.14312.3323525121134112.5435.431113121
'zhen'xing'ping'heng	振型平衡	101314.113229.14312.333582	1211311534.113222121.14312.3323525121134112
'zhen'dong	振动	101314.115453	1211311534.115453
'zhen'dong'mo'tai	振动模态	101314.115453.121784.134465	1211311534.115453.12341222511134.13444544
'zhen'dong'lie'du	振动烈度	101314.115453.132269.471854	1211311534.115453.1354224444.413122154
'zhen'dong'pin'lv	振动频率	101314.115453.212338.415642	1211311534.115453.2121233132534.41554413412
'zhen'dong'shi'yan	振动试验	101314.115453.401124.503411	1211311534.115453.45112154.5513414431
'zhen'dong'mo	振动磨	101314.115453.471214	1211311534.115453.4131234123413251
'zhen'dong'li'ju	振动力矩	101314.115453.53.941515	1211311534.115453.53.311341515
'zhen'dong'shu'biao	振动鼠标	101314.115453.97.121124	1211311534.115453.3215115445445.123411234
'zhen'dang	振荡	101314.174453	1211311534.122441533
'zhen'dang'zhou'qi	振荡周期	101314.174453.351980.7036	1211311534.122441533.35121251.122111343511
'zhen'dang'qi	振荡器	101314.174453.808010	1211311534.122441533.2512511344251251
'zhen'fu	振幅	101314.251803	1211311534.252125125121
'zhen'ling	振铃	101314.913444	1211311534.3111534454
'yan'mo	掩模	101345.121784	12113425115.12341222511134
'yan'mo'tu	掩模图	101345.121784.259041	12113425115.12341222511134.25354441
'yan'mo'xu'hao	掩模序号	101345.121784.4754.8015	12113425115.12341222511134.4135452.25115
'yan'mo'dui'zhun	掩模对准	101345.121784.54124.413241	12113425115.12341222511134.54124.4132411121
'yan'mo'zu	掩模组	101345.121784.5527	12113425115.12341222511134.55125111
'yan'ma	掩码	101345.1450	12113425115.13251551
'yan'ma'zhan'wei'fu	掩码占位符	101345.1450.2180.3261.373214	12113425115.13251551.21251.3241431.31431432124
'yan'bi'kuo'san	掩蔽扩散	101345.176890.1047.182510	12113425115.12243252343134.121413.122125113134
