君士坦丁堡	01380.19.19811.12.328019
扎库马国家公园	105.4777.50.251141.4613.3454.251131
扎耶查尔	105.7252.12811.3523
扎耶查尔	105.7252.12811.35234
挪威	1051.1315
挪威	105152.131594
报国寺	105.2.19124
报国寺	105254.251141.19124
报恩寺	105.251345.19124
报恩寺	105254.251345.19124
扬仁风	10533.3211.353
扬仁风	10533.3211.3534
扬州唐城遗址	10533.4342.4701.1913.80212.1921
扬州唐城遗址	10533.434242.470120.191354.802124.1921
招隐寺	10538.52350.19124
招隐寺	105380.523505.19124
拉丁美洲	1061.12.431.44434
拉丁美洲	1061.12.431114.444342
拉格瓦特	1061.1290.79.3119
拉格瓦特	1061.129080.79.311914
拉布拉多半岛	1061.1325.1061.909.432.962
拉布拉多半岛	1061.1325.1061.9090.432.9620
拉布安	1061.1325.465
拉布安	1061.1325.4659
拉布安纳闽	1061.1325.465.5525.422
拉布安纳闽	1061.1325.4659.552534.4226
拉萨罗卡德纳斯	1061.17526.849.2124.3312.5525.7033
拉萨罗卡德纳斯	1061.175263.8490.2124.331285.552534.7033
拉苏里墙	1061.1753.812.1912
拉苏里墙	1061.175344.81211.191241
拉塔基亚	1061.1917.701.122
拉塔基亚	1061.191794.7019.122
拉佛纳	1061.3257.5525
拉佛纳	1061.325732.552534
拉瓜伊拉	1061.33544.32013.1061
拉瓜翁	1061.33544.34540
拉瓜翁	1061.33544.345404
拉希德港	1061.3413.3312.44183
拉希德港	1061.341325.331285.441835
拉脱维亚	1061.3643.5532.122
拉脱维亚	1061.364385.553241.122
拉脱维亚空军基地	1061.3643.5532.122.4612.45.701.195
拉脱维亚空军基地	1061.364385.553241.122.46121.4577.7019.19525
拉市海	1061.4125.4431
拉市海	1061.4125.443106
拉普拉塔	1061.4322.1061.1917
拉普拉塔	1061.432281.1061.191794
拉普乔克故城	1061.4322.9432.12803.12809.1913
拉普乔克故城	1061.432281.9432.128035.128090.191354
拉法山国家公园	1061.44.20.2.46.3454.251
拉法山国家公园	1061.441954.20.251141.4613.3454.251131
拉马拉	1061.50.1061
拉巴特	1061.5215.3119
拉巴特	1061.5215.311914
拉巴斯	1061.5215.7033
拉阿米斯塔德国家公园	1061.5218.68.7033.1917.3312.2.46.3454.251
拉阿米斯塔德国家公园	1061.521802.68.7033.191794.331285.251141.4613.3454.251131
拉纳卡	1061.5525.2124
拉纳卡	1061.552534.2124
拉米	1061.68
拉米亚	1061.68.122
拉斯拉凡	1061.7033.1061.354
拉斯帕尔马斯	1061.7033.2538.3523.50.7033
拉斯帕尔马斯	1061.7033.25381.35234.50.7033
拉斯佩齐亚	1061.7033.323515.6632.122
拉斯佩岛	1061.7033.323515.962
拉斯佩岛	1061.7033.323515.9620
拉斯乌努夫市	1061.7033.3551.5954.1134.4125
拉斯乌努夫市	1061.7033.3551.595453.1134.4125
拉斯维加斯	1061.7033.5532.538.7033
拉斯维加斯	1061.7033.553241.5380.7033
拉贾斯坦山地要塞	1061.742.7033.19811.20.195.7.46781
拉贾斯坦山地要塞	1061.7428.7033.19811.20.19525.7459.467819
拉迪格岛	1061.8345.1290.962
拉迪格岛	1061.83454.129080.9620
拉罗歇尔	1061.849.81353.3523
拉罗歇尔	1061.8490.813534.35234
拉各斯	1061.908.7033
拉各斯	1061.9080.7033
拉合尔古堡	1061.94.3523.1280.328019
拉合尔古堡	1061.94.35234.1280.328019
拉利贝拉岩洞教堂	1061.922.28.1061.2014.4425.1935.2419
拉利贝拉岩洞教堂	1061.9222.28.1061.2014.442510.193580.2419
拉穆	1061.9238
拉穆	1061.923813
拉科普斯	1061.924.4322.7033
拉科普斯	1061.924412.432281.7033
拉科鲁尼亚	1061.924.9581.0735.122
拉科鲁尼亚	1061.924412.9581.0735.122
撞道口	10618.4338.80
撞道口	106181.433824.80
提帕萨	1081.2538.17526
提帕萨	108176.25381.175263
提河	1081.441
提河	108176.441802
王建墓	11.015.178119
王建墓	11.0154.178119
王母池	11.06.4452
王母池	11.06.44525
二王庙	11.11.478
二王庙	11.11.4783
王杰墓	11.1269.178119
二龙河	11.13534.441
二龙河	11.13534.441802
二仙宫	11.3220.4680
二仙宫	11.3220.468080
二仙观	11.3220.5425
二仙观	11.3220.542535
王德墓	11.3312.178119
王德墓	11.331285.178119
王后岛	11.331.962
王后岛	11.33180.9620
二郎山	11.40352.20
王潮墓	11.441286.178119
王溪山色	11.44395.20.3552
王溪山色	11.443954.20.355215
王澜堂	11.44421.2419
王澜堂	11.444214.2419
王家大院	11.46.134.524
王家大院	11.4613.134.524615
王庄	11.4719
王子古堡	11.58.1280.328019
二星	11.8137
二星	11.81371
瑙鲁	1105.9581
瑙鲁	110531.9581
三灵坟	111.016.1966
三灵坟	111.0169.1966
三一八烈士墓	111.1.34.13226.19.178119
三一八烈士墓	111.1.34.132269.19.178119
三一学院	111.1.64.524
三一学院	111.1.6458.524615
三横四直图碑	111.1218.84.1227.259.1438
三横四直图碑	111.121884.84.1227.259041.143812
三亚	111.122
三亚湾	111.122.44665
三亚湾	111.122.446657
三权广场	111.1254.47.1953
三权广场	111.1254.47.19533
三楼装饰	111.126.412.30312
三楼装饰	111.126859.412194.303125
三原城隍庙	111.133.1913.5238.478
三原城隍庙	111.133814.191354.523811.4783
三百山	111.1381.20
三藏塔	111.17135.1917
三藏塔	111.171354.191794
三藩市	111.17443.4125
三藩市	111.174433.4125
三城	111.1913
三城	111.191354
三山会馆	111.20.341.304
三山会馆	111.20.341154.304621
三山庵	111.20.471345
三峡	111.20143
三峡	111.201434
三峡大坝	111.20143.134.1928
三峡大坝	111.201434.134.1928
三保山	111.3280.20
三保山	111.328012.20
三门	111.42
三道壕西汉村落遗址	111.4338.19411.74.4454.12124.1744.80212.1921
三道壕西汉村落遗址	111.433824.194113.74.4454.12124.174490.802124.1921
三江并流	111.44121.4378.444
三江并流	111.44121.4378.444155
三清山	111.4471.20
三清山	111.447121.20
三清阁	111.4471.429
三清阁	111.447121.429080
三潭印月	111.44748.3515.36
三潭印月	111.447482.35152.36
三宝垄	111.4611.135349
三宝垄	111.46114.135349
三室墓	111.4615.178119
三室墓	111.461549.178119
三台山	111.548.20
三台山	111.5480.20
三台阁	111.548.429
三台阁	111.5480.429080
三星堆	111.8137.1932
三星堆	111.81371.193241
琵琶泉	11111.11115.3812
琵琶泉	111115.111155.381254
琴泉	11113.3812
琴泉	111135.381254
琴溪香谷	11113.44395.9281.94
琴溪香谷	111135.443954.9281.94
环壁桥	1113.0719.129
环壁桥	111324.0719.129432
环城公园	1113.1913.3454.251
环城公园	111324.191354.3454.251131
于韦斯屈莱	112.1152.7033.070.17168
于韦斯屈莱	112.1152.7033.0702.17168
于木兰作诗碑	112.12.43.32312.4019.1438
于木兰作诗碑	112.12.43.323121.401914.143812
未来世界游乐公园	112.168.185.833.446.352.3454.251
未来世界游乐公园	112.168.185.833432.446038.35234.3454.251131
于尔内斯木结构教堂	112.3523.2534.7033.12.5519.12355.1935.2419
于尔内斯木结构教堂	112.35234.2534.7033.12.551980.123554.193580.2419
于谦墓	112.40430.178119
于谦墓	112.404304.178119
于谦祠	112.40430.6251
于谦祠	112.404304.625180
于斯塔德	112.7033.1917.3312
于斯塔德	112.7033.191794.331285
瑞云峰	11201.1154.209
瑞云峰	112012.1154.209071
瑞士	11201.19
瑞士	112012.19
瑞光塔	11201.24.1917
瑞光塔	112012.2435.191794
瑞典	11201.2517
瑞典	112012.251714
瑞像岩	11201.32358.2014
瑞像岩	112012.323584.2014
瑞晶石花洞	11201.818.14.17.4425
瑞晶石花洞	112012.818181.14.173235.442510
武林门	1121.1212.42
武林门	112154.1212.42
武松墓	1121.1234.178119
武松墓	112154.123454.178119
武当山	1121.240.20
武当山	112154.2401.20
武侯祠	1121.32519.6251
武侯祠	112154.325194.625180
武汉动物园	1121.4454.11545.313.251
武汉动物园	112154.4454.115453.313533.251131
武汉植物园	1121.4454.12122.313.251
武汉植物园	112154.4454.121227.313533.251131
武汉国民政府旧址	1121.4454.2.5151.1219.4732.281.1921
武汉国民政府旧址	112154.4454.251141.51515.12190.473214.281.1921
武汉长江大桥	1121.4454.3154.44121.134.129
武汉长江大桥	112154.4454.3154.44121.134.129432
武汉海底世界	1121.4454.4431.473.185.833
武汉海底世界	112154.4454.443106.473514.185.833432
武隆芙蓉洞	1121.52901.17113.1746.4425
武隆芙蓉洞	112154.529011.171134.174694.442510
武隆仙女山	1121.52901.3220.59.20
武隆仙女山	112154.529011.3220.59.20
武里南	1121.812.1225
武里南	112154.81211.122542
珠峰	1131.209
珠峰	113112.209071
珠海	1131.4431
珠海	113112.443106
珠穆朗玛峰	1131.9238.40336.1150.209
珠穆朗玛峰	113112.923813.40336.1150.209071
开尼约	78.0735.5535
开尼约	78.0735.55354
开拓者村庄	78.1014.19381.12124.4719
开元寺	78.1135.19124
开元寺无梁殿	78.1135.19124.113.44534.07183
开元寺无梁殿	78.1135.19124.1135.445342.071834
开元寺塔	78.1135.19124.1917
开元寺塔	78.1135.19124.191794
开元寺钟楼及塔	78.1135.19124.918.126.354.1917
开元寺钟楼及塔	78.1135.19124.91802.126859.354.191794
开城	78.1913
开城	78.191354
开城古迹	78.1913.1280.664
开城古迹	78.191354.1280.66454
开封铁塔	78.1919.913.1917
开封铁塔	78.191914.913114.191794
开化寺连理塔	78.3235.19124.774.118.1917
开化寺连理塔	78.3235.19124.77454.118121.191794
开普敦	78.4322.41589
开普敦	78.432281.415890
开普半岛	78.4322.432.962
开普半岛	78.432281.432.9620
开费坎	78.573.19353
开费坎	78.573228.193534
开姆尼茨	78.5906.0735.174134
开曼群岛	78.8184.0138.962
开曼群岛	78.818454.013802.9620
开罗	78.849
开罗	78.8490
戒台古松	1132.548.1280.1234
戒台古松	113254.5480.1280.123454
天一阁	1134.1.429
天一阁	1134.1.429080
天顶大厦	1134.12132.134.13138
天顶大厦	1134.121328.134.131380
天南第一泉	1134.1225.375.1.3812
天南第一泉	1134.122542.375723.1.381254
天下第一	1134.124.375.1
天下第一	1134.124.375723.1
天下第一江山石刻	1134.124.375.1.44121.20.14.41533
天下第一江山石刻	1134.124.375723.1.44121.20.14.415332
天柱山	1134.12411.20
天梯山	1134.12435.20
天梯山	1134.124353.20
天龙山石窟	1134.13534.20.14.4607
天龙山石窟	1134.13534.20.14.460702
天成寺舍利塔	1134.135.19124.341120.922.1917
天成寺舍利塔	1134.135534.19124.341120.9222.191794
天坛	1134.19115
天坛	1134.191154
天坛大佛	1134.19115.134.3257
天坛大佛	1134.191154.134.325732
天坛公园	1134.19115.3454.251
天坛公园	1134.191154.3454.251131
天坑	1134.19413
天坑	1134.194135
天山天池	1134.20.1134.4452
天山天池	1134.20.1134.44525
天堂寨	1134.2419.467812
天堂岛	1134.2419.962
天堂岛	1134.2419.9620
天鹅湖	1134.31215.44128
天鹅湖	1134.312156.441286
天使瀑布	1134.3218.448114.1325
天使瀑布	1134.321804.448114.1325
天保城	1134.3280.1913
天保城	1134.328012.191354
天后宫	1134.331.4680
天后宫	1134.33180.468080
天街坊	1134.3319.1960
天街坊	1134.331912.1960
天生桥	1134.371.129
天生桥	1134.371.129432
天房	1134.676
天房	1134.6760
天主教堂	1134.411.1935.2419
天主教堂	1134.411.193580.2419
天津	1134.4401
天津历史博物馆	1134.4401.1353.8034.121254.313.304
天津历史博物馆	1134.4401.1353.8034.121254.313533.304621
天津艺术博物馆	1134.4401.175.124.121254.313.304
天津艺术博物馆	1134.4401.175.124.121254.313533.304621
天津乐园	1134.4401.352.251
天津乐园	1134.4401.35234.251131
天津自然博物馆	1134.4401.382.9013.121254.313.304
天津自然博物馆	1134.4401.382.901349.121254.313533.304621
天津广播电视塔	1134.4401.47.1036.815.6225.1917
天津广播电视塔	1134.4401.47.103683.815.622535.191794
天津中山公园	1134.4401.802.20.3454.251
天津中山公园	1134.4401.802.20.3454.251131
天津中心公园	1134.4401.802.65.3454.251
天津中心公园	1134.4401.802.65.3454.251131
天津科技馆	1134.4401.924.10125.304
天津科技馆	1134.4401.924412.101254.304621
天涯热带海洋世界	1134.44131.103.174.4431.4443.185.833
天涯热带海洋世界	1134.441319.103549.174525.443106.44432.185.833432
天涯海角	1134.44131.4431.35
天涯海角	1134.441319.443106.35
天河潭	1134.441.44748
天河潭	1134.441802.447482
天池	1134.4452
天池	1134.44525
天游峰	1134.446.209
天游峰	1134.446038.209071
天宁寺木塔	1134.4612.19124.12.1917
天宁寺木塔	1134.4612.19124.12.191794
天宁寺双塔	1134.4612.19124.5454.1917
天宁寺双塔	1134.4612.19124.5454.191794
天宁岛	1134.4612.962
天宁岛	1134.4612.9620
天安门	1134.465.42
天安门	1134.4659.42
天安门广场	1134.465.42.47.1953
天安门广场	1134.4659.42.47.19533
天马山摩崖石刻	1134.50.20.471217.20131.14.41533
天马山摩崖石刻	1134.50.20.471217.201319.14.415332
天台山	1134.548.20
天台山	1134.5480.20
天台庵	1134.548.471345
天台庵	1134.5480.471345
夫子庙	1134.58.478
夫子庙	1134.58.4783
夫子庙秦淮风光带	1134.58.478.739.44324.353.24.174
夫子庙秦淮风光带	1134.58.4783.7392.443241.3534.2435.174525
天童寺	1134.61812.19124
天童寺	1134.618121.19124
天福宫	1134.621.4680
天福宫	1134.621803.468080
天目石谷	1134.82.14.94
天目溪	1134.82.44395
天目溪	1134.82.443954
天目溪漂流	1134.82.44395.44741.444
天目溪漂流	1134.82.443954.447414.444155
天外村	1134.902.12124
天外村	1134.9024.12124
天镜泉	1134.916.3812
天镜泉	1134.916185.381254
天钟山	1134.918.20
天钟山	1134.91802.20
珍珠城	11343.1131.1913
珍珠城	113433.113112.191354
珍珠泉	11343.1131.3812
珍珠泉	113433.113112.381254
珍妃井	11343.59515.78
珍妃井	113433.59515.78
玲珑山	11344.11135.20
玲珑山	113444.111354.20
玲珑谷考古遗址	11344.11135.94.1931.1280.80212.1921
玲珑谷考古遗址	113444.111354.94.19315.1280.802124.1921
无柱山	113.12411.20
无柱山	1135.12411.20
无盛号石桥	113.13553.8015.14.129
无盛号石桥	1135.135534.8015.14.129432
无花果王	113.17.8112.11
无花果王	1135.173235.8112.11
元山	1135.20
元上城遗址	1135.21.1913.80212.1921
元上城遗址	1135.21.191354.802124.1921
元上都城遗址	1135.21.193.1913.80212.1921
元上都城遗址	1135.21.193812.191354.802124.1921
无后宫	113.331.4680
无后宫	1135.33180.468080
无尊阁	113.4375.429
无尊阁	1135.437514.429080
无宁寺	113.4612.19124
无宁寺	1135.4612.19124
无忧泉	113.491.3812
无忧泉	1135.491354.381254
无纪宫碑	113.555.4680.1438
无纪宫碑	1135.55515.468080.143812
元好问墓	1135.595.428.178119
元好问墓	1135.5958.4280.178119
无量殿	113.81181.07183
无量殿	1135.811811.071834
无影潭	113.8141.44748
无影潭	1135.814123.447482
珊瑚礁自然保护区	113531.11128.14324.382.9013.3280.1067.1345
珊瑚礁自然保护区	113531.111286.143249.382.901349.328012.1067.1345
珊瑚公园	113531.11128.3454.251
珊瑚公园	113531.111286.3454.251131
鼋头渚	113585.4413.441931
鼋头渚	113585.44134.441931
珀勒德布尔	11381.1853.3312.1325.3523
珀勒德布尔	11381.1853.331285.1325.35234
珀斯	11381.7033
碧云洞	1138.1154.4425
碧云洞	113814.1154.442510
碧霞祠	1138.1607.6251
碧霞祠	113814.1607.625180
碧霄岩	1138.1624.2014
碧霄岩	113814.162411.2014
碧落碑	1138.1744.1438
碧落碑	113814.174490.143812
碧塔海	1138.1917.4431
碧塔海	113814.191794.443106
碧山寺	1138.20.19124
碧山寺	113814.20.19124
瑷珲城	11394.11457.1913
瑷珲城	113940.114577.191354
玉环泉	114.1113.3812
玉环泉	114.111324.381254
玉带滩	114.174.44543
玉带滩	114.174525.445431
玉龙雪山	114.13534.160.20
玉龙雪山	114.13534.1601.20
玉山	114.20
玉岑诗社	114.2034.4019.62
玉岑诗社	114.203445.401914.6219
玉佛苑	114.3257.179
玉佛苑	114.325732.179055
玉佛寺	114.3257.19124
玉佛寺	114.325732.19124
玉皇顶	114.38111.12132
玉皇顶	114.38111.121328
玉皇山庄	114.38111.20.4719
玉皇阁	114.38111.429
玉皇阁	114.38111.429080
玉皇飞云	114.38111.534.1154
玉皇观	114.38111.5425
玉皇观	114.38111.542535
玉泉	114.3812
玉泉	114.381254
玉泉狩猎场	114.3812.3846.3818.1953
玉泉狩猎场	114.381254.384614.381881.19533
玉门关	114.42.4334
玉河泉	114.441.3812
玉河泉	114.441802.381254
玉渊潭	114.44368.44748
玉渊潭	114.443682.447482
玉垒山公园	114.545459.20.3454.251
玉垒山公园	114.545459.20.3454.251131
琅琊山	1140.11795.20
琅琊山	11403.117952.20
琅勃拉邦	1140.12455.1061.7352
琅勃拉邦	11403.124553.1061.7352
琼华岛	1141.32351.962
琼华岛	114124.323512.9620
琼台书院	1141.548.5524.524
琼台书院	114124.5480.5524.524615
琼岛春阴	1141.962.73.5236
琼岛春阴	114124.9620.7381.5236
琉璃河商周遗址	11415.11413.441.6134.3519.80212.1921
琉璃河商周遗址	114155.114134.441802.613480.351980.802124.1921
班珠尔	1143.1131.3523
班珠尔	114311.113112.35234
班吉	1143.1980
班吉	114311.1980
班贝格	1143.28.1290
班贝格	114311.28.129080
班公湖	1143.3454.44128
班公湖	114311.3454.441286
班加苏	1143.538.1753
班加苏	114311.5380.175344
班加西	1143.538.74
班加西	114311.5380.74
玛瑙寺	1150.1105.19124
玛瑙寺	1150.110531.19124
玛瑙泉	1150.1105.3812
玛瑙泉	1150.110531.381254
玛琅	1150.1140
玛琅	1150.11403
玛格丽塔岛	1150.1290.125425.1917.962
玛格丽塔岛	1150.129080.125424.191794.9620
玛雅古迹	1150.793.1280.664
玛雅古迹	1150.793241.1280.66454
玛雅文化遗址	1150.793.66.3235.80212.1921
玛雅文化遗址	1150.793241.66.3235.802124.1921
玛雅遗迹	1150.793.80212.664
玛雅遗迹	1150.793241.802124.66454
韦璐市	1152.1129.4125
韦璐市	1152.112990.4125
韦克斯福德	1152.12803.7033.621.3312
韦克斯福德	1152.128035.7033.621803.331285
韦尔斯	1152.3523.7033
韦尔斯	1152.35234.7033
韦驮像	1152.50134.32358
韦驮像	1152.50134.323584
韬奋故居	11523.1348.12809.0712
韬奋故居	115238.13483.128090.071280
玻利维亚	1153.922.5532.122
玻利维亚	115324.9222.553241.122
云居寺	1154.0712.19124
云居寺	1154.071280.19124
云居寺塔	1154.0712.19124.1917
云居寺塔	1154.071280.19124.191794
云接寺塔	1154.106.19124.1917
云接寺塔	1154.106159.19124.191794
云林寺	1154.1212.19124
云杉坪	1154.12333.1914
云杉坪	1154.12333.191432
云楼泉	1154.126.3812
云楼泉	1154.126859.381254
云栖竹径	1154.1274.37.33541
云栖竹径	1154.1274.37.335411
云栖景区	1154.1274.814.1345
云栖景区	1154.1274.814124.1345
云龙山	1154.13534.20
云龙山石佛	1154.13534.20.14.3257
云龙山石佛	1154.13534.20.14.325732
云山胜地	1154.20.363.195
云山胜地	1154.20.36371.19525
云岩寺二山门	1154.2014.19124.11.20.42
云岩寺塔	1154.2014.19124.1917
云岩寺塔	1154.2014.19124.191794
云岭石造像	1154.203.14.3198.32358
云岭石造像	1154.203444.14.319804.323584
云冈五华洞	1154.2534.1251.32351.4425
云冈五华洞	1154.2534.1251.323512.442510
云冈石窟	1154.2534.14.4607
云冈石窟	1154.2534.14.460702
云冈东部窟群	1154.2534.152.6180.4607.0138
云冈东部窟群	1154.2534.15234.618052.460702.013802
云冈露天大佛	1154.2534.162.1134.134.3257
云冈露天大佛	1154.2534.162990.1134.134.325732
云冈第五第大窟	1154.2534.375.1251.375.134.4607
云冈第五第大窟	1154.2534.375723.1251.375723.134.460702
云水洞	1154.253.4425
云水洞	1154.2534.442510
云冈西部窟群	1154.2534.74.6180.4607.0138
云冈西部窟群	1154.2534.74.618052.460702.013802
云冈昙曜五窟	1154.2534.81115.81043.1251.4607
云冈昙曜五窟	1154.2534.811154.810431.1251.460702
云月湖	1154.36.44128
云月湖	1154.36.441286
云台山	1154.548.20
云台山	1154.5480.20
叆河尖古城址	11543.441.2341.1280.1913.1921
叆河尖古城址	115434.441802.234134.1280.191354.1921
琥珀山庄	1187.11381.20.4719
琥珀山庄	118735.11381.20.4719
玫瑰港	1190.119.44183
玫瑰港	1190.1199.441835
玫瑰圣母堂	1190.119.5419.06.2419
玫瑰圣母堂	1190.1199.5419.06.2419
珞珈山	11908.11538.20
珞珈山	119080.115380.20
十三陵	12.111.5219
十三陵	12.111.521930
丁村民居	12.12124.5151.0712
丁村民居	12.12124.51515.071280
丁村遗址	12.12124.80212.1921
丁村遗址	12.12124.802124.1921
木格错	12.1290.9118
木格错	12.129080.911881
十七孔桥	12.15.585.129
十七孔桥	12.15.585.129432
木质教堂	12.33122.1935.2419
木质教堂	12.331228.193580.2419
丁德尔国家公园	12.3312.3523.2.46.3454.251
丁德尔国家公园	12.331285.35234.251141.4613.3454.251131
十八盘	12.34.938
十八盘	12.34.9384
丁氏祠堂	12.3515.6251.2419
丁氏祠堂	12.3515.625180.2419
木兰天池风景区	12.43.1134.4452.353.814.1345
木兰天池风景区	12.43.1134.44525.3534.814124.1345
木兰围场	12.43.25115.1953
木兰围场	12.43.251151.19533
木兰记碑	12.43.405.1438
木兰记碑	12.43.40515.143812
木兰湖	12.43.44128
木兰湖	12.43.441286
木兰湾	12.43.44665
木兰湾	12.43.446657
木浦	12.44125
木浦	12.441254
十渡	12.4447
十渡	12.444714
十字峡谷	12.4658.20143.94
十字峡谷	12.4658.201434.94
十字河州大牧牛场	12.4658.441.4342.134.3190.31.1953
